ampere;volt
-0.0003924;0.000132
-0.0003919;0.011855
-0.0003919;0.023583
-0.0003918;0.039284
-0.0003916;0.078314
-0.0003913;0.15635
-0.0003901;0.23395
-0.0003691;0.33211
-0.0003171;0.38054
-0.0002688;0.4032
-0.0002109;0.42166
-0.0001725;0.43111
-0.0001457;0.43687
-0.0001109;0.44352
-0.0000895;0.44726
-0.0000749;0.44965
-0.0000645;0.4513
-0.0000455;0.45429
-0.000023;0.45747
-0.0000092;0.45936
-0.0000005;0.46052
-0.0003877;0.27138
-0.0003811;0.30496
-0.0003529;0.35302
-0.000335;0.36863
-0.0002998;0.38972
-0.0002838;0.39707
-0.0002551;0.40802
-0.0002425;0.41219
-0.000231;0.41575
-0.0002204;0.4188
-0.0001861;0.42774
-0.0001936;0.42588
-0.0003615;0.34327
-0.0003441;0.36135
-0.0003758;0.31945
-0.0003852;0.28882
-0.0003913;0.1956
