ampere;volt
-0.0010188;0.000425
-0.0010183;0.061195
-0.0010179;0.09172
-0.0010142;0.22304
-0.000999;0.28958
-0.000713;0.42775
-0.000918;0.36697
-0.0008118;0.40583
-0.0006304;0.44128
-0.000563;0.45045
-0.0005079;0.45702
-0.0004619;0.462
-0.0002408;0.48169
-0.0003908;0.46897
-0.0003384;0.47367
-0.0002989;0.47706
-0.0001625;0.48735
-0.0001226;0.49009
-0.0000984;0.49168
-0.0000822;0.49273
-0.0000618;0.49403
-0.0000496;0.49478
-0.000001;0.49775
-0.0000006;0.49776
-0.0009949;0.29827
-0.0009631;0.33686
-0.0008655;0.38903
-0.0010178;0.15286
-0.0010088;0.26224
-0.0009842;0.31468
-0.00076;0.4178
